symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
AAPL,2018-06-06 00:00:00+00:00,193.98,194.08,191.92,193.63,20933619,46.4766974231,46.5006569537,45.9831310931,46.3928390661,83734476,0.0,1.0
AAPL,2018-06-07 00:00:00+00:00,193.46,194.2,192.34,194.14,21347180,46.3521078641,46.5294083904,46.0837611216,46.5150326721,85388720,0.0,1.0
AAPL,2018-06-08 00:00:00+00:00,191.7,192.0,189.77,191.17,26656799,45.9304201259,46.0022987176,45.4680011856,45.8034346138,106627196,0.0,1.0
AAPL,2018-06-11 00:00:00+00:00,191.23,191.97,190.21,191.35,18308460,45.8178103321,45.9951108584,45.5734231202,45.8465617688,73233840,0.0,1.0
AAPL,2018-06-12 00:00:00+00:00,192.28,192.61,191.15,191.39,16911141,46.0693854032,46.1484518542,45.7986427077,45.856145581,67644564,0.0,1.0
AAPL,2018-06-13 00:00:00+00:00,190.7,192.88,190.44,192.42,21638393,45.69082482,46.2131425867,45.6285300405,46.102928746,86553572,0.0,1.0
AAPL,2018-06-14 00:00:00+00:00,190.8,191.57,190.22,191.55,21610074,45.7147843506,45.8992727361,45.5758190732,45.89448083,86440296,0.0,1.0
AAPL,2018-06-15 00:00:00+00:00,188.84,190.16,188.26,190.03,61719160,45.2451775512,45.5614433549,45.1062122738,45.5302959651,246876640,0.0,1.0
AAPL,2018-06-18 00:00:00+00:00,188.74,189.22,187.2,187.88,18484865,45.2212180206,45.3362237674,44.8522412497,45.0151660576,73939460,0.0,1.0
AAPL,2018-06-19 00:00:00+00:00,185.69,186.33,183.45,185.14,33578455,44.4904523379,44.6437933336,43.9537588528,44.3586749197,134313820,0.0,1.0
AAPL,2018-06-20 00:00:00+00:00,186.5,187.2,185.73,186.35,20628701,44.6845245356,44.8522412497,44.5000361501,44.6485852397,82514804,0.0,1.0
AAPL,2018-06-21 00:00:00+00:00,185.46,188.35,184.94,187.25,25711898,44.4353454175,45.1277758514,44.3107558585,44.864221015,102847592,0.0,1.0
AAPL,2018-06-22 00:00:00+00:00,184.92,186.15,184.7,186.12,27200447,44.3059639524,44.6006661785,44.2532529851,44.5934783194,108801788,0.0,1.0
AAPL,2018-06-25 00:00:00+00:00,182.17,184.92,180.73,183.4,31663096,43.6470768614,44.3059639524,43.302059621,43.9417790875,126652384,0.0,1.0
AAPL,2018-06-26 00:00:00+00:00,184.43,186.53,182.54,182.99,24569201,44.1885622525,44.6917123948,43.7357271245,43.8435450122,98276804,0.0,1.0
AAPL,2018-06-27 00:00:00+00:00,184.16,187.28,184.03,185.23,25285328,44.12387152,44.8714088741,44.0927241302,44.3802384972,101141312,0.0,1.0
AAPL,2018-06-28 00:00:00+00:00,185.5,186.21,183.8,184.1,17365235,44.4449292298,44.6150418969,44.0376172099,44.1094958016,69460940,0.0,1.0
AAPL,2018-06-29 00:00:00+00:00,185.11,187.19,182.91,186.29,22737666,44.3514870605,44.8498452966,43.8243773877,44.6342095214,90950664,0.0,1.0
AAPL,2018-07-02 00:00:00+00:00,187.18,187.3,183.42,183.82,17731343,44.8474493435,44.8762007802,43.9465709937,44.042409116,70925372,0.0,1.0
AAPL,2018-07-03 00:00:00+00:00,183.92,187.95,183.54,187.79,13954806,44.0663686466,45.031937729,43.9753224304,44.9936024801,55819224,0.0,1.0
AAPL,2018-07-05 00:00:00+00:00,185.4,186.41,184.28,185.26,16604248,44.4209696992,44.6629609581,44.1526229567,44.3874263564,66416992,0.0,1.0
AAPL,2018-07-06 00:00:00+00:00,187.97,188.43,185.2,185.42,17485245,45.0367296351,45.1469434758,44.373050638,44.4257616053,69940980,0.0,1.0
AAPL,2018-07-09 00:00:00+00:00,190.58,190.68,189.3,189.5,19756634,45.6620733833,45.6860329139,45.3553913919,45.403310453,79026536,0.0,1.0
AAPL,2018-07-10 00:00:00+00:00,190.35,191.28,190.18,190.71,15939149,45.606966463,45.8297900974,45.566235261,45.6932207731,63756596,0.0,1.0
AAPL,2018-07-11 00:00:00+00:00,187.88,189.78,187.61,188.5,18831470,45.0151660576,45.4703971387,44.950475325,45.1637151472,75325880,0.0,1.0
AAPL,2018-07-12 00:00:00+00:00,191.03,191.41,189.31,189.53,18041131,45.769891271,45.8609374872,45.3577873449,45.4104983122,72164524,0.0,1.0
AAPL,2018-07-13 00:00:00+00:00,191.33,191.84,190.9,191.08,12519792,45.8417698627,45.9639634687,45.7387438812,45.7818710362,50079168,0.0,1.0
AAPL,2018-07-16 00:00:00+00:00,190.91,192.65,190.42,191.52,15043110,45.7411398343,46.1580356664,45.6237381344,45.8872929708,60172440,0.0,1.0
AAPL,2018-07-17 00:00:00+00:00,191.45,191.87,189.2,189.75,15534523,45.8705212994,45.9711513278,45.3314318613,45.4632092795,62138092,0.0,1.0
AAPL,2018-07-18 00:00:00+00:00,190.4,191.8,189.93,191.78,16393381,45.6189462283,45.9543796564,45.5063364346,45.9495877503,65573524,0.0,1.0
AAPL,2018-07-19 00:00:00+00:00,191.88,192.55,189.69,189.69,20286752,45.9735472809,46.1340761358,45.4488335612,45.4488335612,81147008,0.0,1.0
AAPL,2018-07-20 00:00:00+00:00,191.44,192.43,190.17,191.78,20706042,45.8681253463,46.1053246991,45.5638393079,45.9495877503,82824168,0.0,1.0
AAPL,2018-07-23 00:00:00+00:00,191.61,191.96,189.56,190.68,15989365,45.9088565483,45.9927149054,45.4176861714,45.6860329139,63957460,0.0,1.0
AAPL,2018-07-24 00:00:00+00:00,193.0,193.66,192.05,192.45,18697898,46.2418940234,46.4000269253,46.0142784829,46.1101166052,74791592,0.0,1.0
AAPL,2018-07-25 00:00:00+00:00,194.82,194.85,192.43,193.06,16826483,46.67795748,46.6851453392,46.1053246991,46.2562697418,67305932,0.0,1.0
AAPL,2018-07-26 00:00:00+00:00,194.21,195.96,193.61,194.61,19075964,46.5318043435,46.9510961287,46.38804716,46.6276424658,76303856,0.0,1.0
AAPL,2018-07-27 00:00:00+00:00,190.98,195.19,190.1,194.99,24023972,45.7579115057,46.7666077432,45.5470676365,46.718688682,96095888,0.0,1.0
AAPL,2018-07-30 00:00:00+00:00,189.91,192.2,189.07,191.9,21029535,45.5015445284,46.0502177788,45.3002844715,45.978339187,84118140,0.0,1.0
AAPL,2018-07-31 00:00:00+00:00,190.29,192.14,189.34,190.3,39373038,45.5925907446,46.0358420604,45.3649752041,45.5949866977,157492152,0.0,1.0
AAPL,2018-08-01 00:00:00+00:00,201.5,201.76,197.31,199.13,67935716,48.2784541229,48.3407489024,47.2745497915,47.7106132481,271742864,0.0,1.0
AAPL,2018-08-02 00:00:00+00:00,207.39,208.38,200.35,200.58,62404012,49.6896704742,49.9268698269,48.0029195212,48.0580264415,249616048,0.0,1.0
AAPL,2018-08-03 00:00:00+00:00,207.99,208.74,205.48,207.03,33447396,49.8334276577,50.013124137,49.2320434401,49.6034161641,133789584,0.0,1.0
AAPL,2018-08-06 00:00:00+00:00,209.07,209.25,207.07,208.0,25425387,50.092190588,50.135317743,49.6129999763,49.8358236107,101701548,0.0,1.0
AAPL,2018-08-07 00:00:00+00:00,207.11,209.5,206.76,209.32,25587387,49.6225837886,50.1952165695,49.5387254315,50.1520894144,102349548,0.0,1.0
AAPL,2018-08-08 00:00:00+00:00,207.25,207.81,204.52,206.05,22525487,49.6561271314,49.7903005026,49.0020319465,49.3686127644,90101948,0.0,1.0
